,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
61,-1.42,-3.7,-0.09,-2.61,-23.27,-25.54,0 days 00:00:11.000000000,0,1
62,-1.5,-3.69,-0.12,-11.22,-40.44,-13.76,0 days 00:00:11.157000000,0,1
63,-1.33,-3.85,0.01,-18.12,-66.66,-31.08,0 days 00:00:11.331000000,0,1
64,-1.46,-3.37,0.38,-24.87,-66.6,-18.69,0 days 00:00:11.540000000,0,1
65,-1.31,-3.57,0.46,-28.9,-82.72,-11.1,0 days 00:00:11.728000000,0,1
66,-1.3,-4.34,0.42,-18.87,-49.89,-14.98,0 days 00:00:11.895000000,0,1
67,-1.3,-4.01,-0.17,-13.95,-67.33,-15.54,0 days 00:00:12.050000000,0,1
68,-1.26,-3.74,0.06,-15.5,-94.2,-8.78,0 days 00:00:12.220000000,0,1
69,-1.3,-3.68,-0.02,-37.56,-121.27,-21.22,0 days 00:00:12.398000000,0,1
70,-1.12,-3.7,-0.11,-55.07,-148.78,-29.05,0 days 00:00:12.683000000,0,1
71,-1.13,-3.82,0.38,-48.96,-165.37,-14.44,0 days 00:00:12.840000000,0,1
72,-1.2,-3.93,0.37,-44.95,-165.33,-12.44,0 days 00:00:12.998000000,0,1
73,-1.28,-3.64,0.39,-50.35,-143.79,11.71,0 days 00:00:13.154000000,1,1
74,-1.13,-3.89,0.33,-46.93,-117.89,-5.62,0 days 00:00:13.356000000,1,1
75,-1.34,-3.88,0.14,-48.79,-76.53,-17.94,0 days 00:00:13.660000000,1,1
76,-1.6,-3.41,-0.32,-125.36,-156.95,-33.69,0 days 00:00:13.702000000,1,1
77,-1.36,-3.65,-1.42,-157.07,-174.31,-75.71,0 days 00:00:13.944000000,1,1
78,-0.7,-3.52,-1.78,-43.77,-88.92,-237.53,0 days 00:00:14.136000000,1,1
79,0.62,-3.81,-1.75,57.95,4.92,-276.08,0 days 00:00:14.321000000,1,1
80,2.26,-3.19,-1.04,119.77,115.68,-153.63,0 days 00:00:14.550000000,1,1
81,3.11,-3.07,0.31,141.82,189.19,-11.77,0 days 00:00:14.585000000,1,1
82,1.74,-2.72,1.86,47.47,168.41,164.4,0 days 00:00:14.797000000,1,1
83,-0.33,-3.21,2.13,-88.7,49.91,228.81,0 days 00:00:15.024000000,1,1
84,-1.82,-3.59,1.29,-152.53,-57.3,105.94,0 days 00:00:15.222000000,1,1
85,-1.24,-3.81,0.48,-115.79,-109.77,16.52,0 days 00:00:15.462000000,1,1
86,-1.1,-4.1,-0.03,-15.85,-14.93,-42.35,0 days 00:00:15.488000000,1,1
87,-0.84,-3.97,-0.21,31.97,5.71,-48.72,0 days 00:00:15.719000000,0,1
88,-0.72,-3.72,-0.05,34.78,44.09,-15.95,0 days 00:00:15.957000000,0,1
89,-0.55,-3.77,0.07,18.27,12.73,-11.91,0 days 00:00:16.191000000,0,1
90,-0.26,-3.89,0.0,3.83,-13.94,-32.66,0 days 00:00:16.222000000,0,1
91,-0.58,-3.96,0.54,11.48,-37.37,-9.79,0 days 00:00:16.511000000,0,1
