,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
177,0.0,-3.99,0.38,1.95,-2.09,-5.83,0 days 00:00:31.505000000,0,0
178,0.04,-4.02,0.37,0.23,-5.3,-7.8,0 days 00:00:32.317000000,0,0
179,0.01,-4.01,0.37,3.02,-2.78,2.05,0 days 00:00:32.342000000,0,0
180,-0.01,-4.05,0.37,4.05,-1.63,-1.1,0 days 00:00:32.367000000,0,0
181,-0.04,-3.99,0.39,2.64,-0.72,-1.94,0 days 00:00:32.391000000,0,0
182,-0.02,-4.01,0.36,4.26,-1.16,-0.84,0 days 00:00:32.415000000,0,0
183,0.07,-3.9,0.44,11.53,-0.31,54.43,0 days 00:00:33.312000000,1,0
184,-0.7,-4.03,0.33,13.25,5.71,109.51,0 days 00:00:33.338000000,1,0
185,-1.28,-4.02,0.43,78.52,43.36,35.85,0 days 00:00:33.362000000,1,0
186,-1.6,-3.84,0.87,163.22,98.58,-41.91,0 days 00:00:33.388000000,1,0
187,-1.71,-3.21,2.11,134.15,49.05,-151.62,0 days 00:00:33.413000000,1,0
188,-0.21,-3.24,2.49,39.47,-33.36,-227.57,0 days 00:00:33.437000000,1,0
189,1.15,-3.1,2.4,-36.9,-60.98,-180.82,0 days 00:00:34.446000000,1,0
190,2.1,-2.94,1.72,-67.45,-114.18,-113.37,0 days 00:00:34.473000000,1,0
191,2.75,-2.75,0.59,-86.46,-170.73,-11.22,0 days 00:00:34.502000000,1,0
192,2.86,-3.07,-0.69,-59.73,-168.63,75.15,0 days 00:00:34.529000000,1,0
193,2.18,-3.72,-1.16,23.18,-45.31,160.26,0 days 00:00:34.556000000,1,0
194,0.77,-3.88,-0.65,87.63,25.8,131.07,0 days 00:00:34.582000000,1,0
195,-0.03,-3.96,-0.13,67.73,26.73,68.98,0 days 00:00:35.596000000,1,0
196,-0.21,-3.94,0.27,41.13,-0.09,30.02,0 days 00:00:35.622000000,1,0
197,-0.26,-3.96,0.44,10.21,-3.07,8.87,0 days 00:00:35.647000000,1,0
198,-0.28,-4.01,0.37,5.39,0.93,-4.37,0 days 00:00:35.673000000,1,0
199,-0.27,-3.98,0.44,6.63,2.53,-2.35,0 days 00:00:35.699000000,1,0
200,-0.21,-4.0,0.42,1.08,-3.1,-7.44,0 days 00:00:35.724000000,0,0
201,-0.21,-3.99,0.34,6.14,-0.78,-5.28,0 days 00:00:35.748000000,0,0
202,-0.25,-3.97,0.43,4.53,2.92,-3.8,0 days 00:00:36.787000000,0,0
203,-0.25,-3.96,0.44,1.97,-4.34,-2.64,0 days 00:00:36.814000000,0,0
204,-0.24,-4.0,0.47,5.74,-5.97,0.29,0 days 00:00:36.839000000,0,0
