,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftLean,isWalk
67,-0.18,-3.99,0.34,2.85,-1.57,-8.11,0 days 00:00:16.457000000,0,0
68,-0.17,-3.98,0.31,3.68,-1.22,-4.2,0 days 00:00:16.703000000,0,0
69,-0.2,-3.97,0.33,3.95,-2.52,-5.01,0 days 00:00:16.738000000,0,0
70,-0.18,-3.98,0.34,3.13,-2.46,-6.2,0 days 00:00:16.990000000,0,0
71,-0.17,-3.99,0.32,2.76,-2.7,-5.94,0 days 00:00:17.255000000,0,0
72,-0.14,-3.98,0.33,3.27,-2.41,-2.81,0 days 00:00:17.291000000,0,0
73,-0.14,-3.97,0.31,3.73,-1.01,-2.89,0 days 00:00:17.561000000,0,0
74,-0.13,-3.95,0.34,1.97,-0.37,-2.79,0 days 00:00:17.595000000,0,0
75,-0.19,-4.05,0.3,-0.26,0.81,-1.8,0 days 00:00:17.888000000,1,0
76,-0.22,-4.0,0.29,0.49,-3.77,-2.05,0 days 00:00:17.925000000,1,0
77,-0.2,-3.89,0.3,-14.72,-1.76,-3.82,0 days 00:00:18.259000000,1,0
78,-0.33,-3.71,-0.03,-97.34,-17.01,-20.24,0 days 00:00:18.294000000,1,0
79,-0.01,-4.01,-1.15,-121.3,-23.79,-7.79,0 days 00:00:18.603000000,1,0
80,-0.55,-3.82,-1.53,-23.65,-2.34,0.17,0 days 00:00:18.975000000,1,0
81,0.02,-3.8,-1.5,16.46,7.42,-0.37,0 days 00:00:19.010000000,1,0
82,-0.05,-3.8,-1.02,118.17,27.53,5.85,0 days 00:00:19.046000000,1,0
83,-0.19,-3.94,-0.31,111.98,32.17,-5.88,0 days 00:00:19.359000000,1,0
84,-0.21,-3.77,0.29,72.29,25.71,2.21,0 days 00:00:19.394000000,1,0
85,-0.24,-4.05,0.38,4.76,3.44,-3.71,0 days 00:00:19.718000000,0,0
86,-0.2,-4.03,0.4,3.59,-3.36,-3.01,0 days 00:00:19.755000000,0,0
87,-0.2,-3.97,0.38,4.23,-5.27,1.01,0 days 00:00:20.078000000,0,0
88,-0.24,-4.01,0.38,3.21,-3.94,1.68,0 days 00:00:20.114000000,0,0
89,-0.28,-3.94,0.48,13.5,-10.55,0.63,0 days 00:00:20.451000000,0,0
90,-0.29,-3.99,0.46,2.47,2.92,-2.2,0 days 00:00:20.486000000,0,0
91,-0.29,-3.96,0.42,2.15,-6.67,-2.92,0 days 00:00:20.840000000,0,0
92,-0.23,-4.05,0.48,3.34,-3.51,-4.76,0 days 00:00:20.876000000,0,0
93,-0.32,-4.0,0.42,-0.12,-7.24,-2.58,0 days 00:00:21.243000000,0,0
94,-0.29,-4.03,0.38,1.88,2.81,-5.19,0 days 00:00:21.280000000,0,0
95,-0.26,-3.96,0.39,3.82,-2.09,-3.65,0 days 00:00:21.318000000,0,0
96,-0.32,-3.97,0.39,2.15,-1.89,-3.34,0 days 00:00:21.706000000,0,0
97,-0.31,-3.98,0.36,1.27,-4.09,-0.37,0 days 00:00:21.743000000,0,0
98,-0.32,-3.96,0.41,1.13,-3.21,-0.47,0 days 00:00:22.153000000,0,0
99,-0.34,-3.97,0.41,2.37,-3.37,-1.59,0 days 00:00:22.188000000,0,0
100,-0.36,-3.97,0.33,2.27,-2.46,-1.8,0 days 00:00:22.224000000,0,0
101,-0.35,-3.98,0.37,2.4,-3.54,-3.73,0 days 00:00:22.637000000,1,0
102,-0.33,-3.96,0.4,-0.37,-1.82,-3.1,0 days 00:00:22.672000000,1,0
