,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
57,1.13,-3.83,-1.92,15.16,88.79,-293.34,0 days 00:00:10.140000000,1,0
58,2.37,-2.95,-1.03,101.1,134.98,-200.08,0 days 00:00:10.439000000,1,0
59,3.89,-1.69,-0.13,98.7,212.5,21.65,0 days 00:00:10.519000000,1,0
60,2.21,-2.38,1.7,29.6,190.9,175.21,0 days 00:00:10.771000000,1,0
61,0.65,-3.25,2.09,-65.42,57.92,301.05,0 days 00:00:10.986000000,1,0
62,-0.58,-4.04,1.16,-131.97,-86.72,126.21,0 days 00:00:11.082000000,1,0
63,-0.54,-4.25,0.38,-48.26,-33.34,-18.63,0 days 00:00:11.291000000,1,0
64,-0.39,-4.04,0.33,-10.12,-2.43,-21.19,0 days 00:00:11.488000000,1,0
65,-0.45,-4.01,0.3,20.05,8.4,-20.37,0 days 00:00:11.682000000,0,0
66,-0.29,-3.94,0.45,-0.72,-5.04,-8.37,0 days 00:00:11.908000000,0,0
67,-0.23,-3.99,0.39,4.78,19.8,-5.73,0 days 00:00:11.988000000,0,0
68,-0.23,-3.98,0.52,8.34,-5.97,-9.07,0 days 00:00:12.197000000,0,0
69,-0.22,-3.95,0.51,1.54,-1.42,-2.23,0 days 00:00:12.403000000,0,0
70,-0.2,-4.05,0.51,-1.08,-0.18,-4.47,0 days 00:00:12.467000000,0,0
71,-0.24,-4.01,0.45,4.32,-1.91,0.38,0 days 00:00:12.662000000,0,0
72,-0.2,-4.0,0.44,2.11,-0.11,-5.39,0 days 00:00:12.854000000,0,0
73,-0.2,-3.94,0.47,2.55,-3.01,-5.65,0 days 00:00:13.049000000,0,0
74,-0.17,-3.99,0.5,4.27,-0.73,-2.4,0 days 00:00:13.255000000,0,0
75,-0.2,-3.98,0.46,5.73,-0.96,-2.14,0 days 00:00:13.469000000,0,0
76,-0.21,-4.02,0.48,6.03,-2.37,-4.9,0 days 00:00:13.533000000,0,0
77,-0.25,-4.04,0.46,4.53,0.43,-4.76,0 days 00:00:13.747000000,0,0
78,-0.25,-4.02,0.49,3.85,-1.48,-4.17,0 days 00:00:13.966000000,0,0
79,-0.14,-4.02,0.51,3.51,-0.41,-5.88,0 days 00:00:14.192000000,1,0
80,-0.17,-3.99,0.47,1.44,-0.29,0.29,0 days 00:00:14.251000000,1,0
81,-0.26,-3.91,0.49,-13.68,8.2,46.67,0 days 00:00:14.494000000,1,0
82,-1.04,-3.56,0.35,-72.43,-37.16,85.33,0 days 00:00:14.732000000,1,0
83,-1.41,-3.43,-0.27,-135.74,-113.69,-26.95,0 days 00:00:14.795000000,1,0
84,-0.81,-3.85,-1.33,-135.22,-54.44,-125.42,0 days 00:00:15.045000000,1,0
85,0.22,-3.63,-1.81,-22.41,-8.35,-280.85,0 days 00:00:15.293000000,1,0
86,1.79,-3.72,-1.67,69.56,122.18,-285.27,0 days 00:00:15.354000000,1,0
87,3.41,-2.19,-0.52,101.94,210.72,-77.45,0 days 00:00:15.637000000,1,0
88,2.8,-1.93,1.33,12.61,228.99,175.02,0 days 00:00:15.723000000,1,0
89,1.33,-3.13,1.77,-52.92,117.47,275.01,0 days 00:00:16.015000000,1,0
90,-0.53,-3.8,1.47,-85.02,-49.37,141.3,0 days 00:00:16.073000000,1,0
91,-0.18,-4.33,0.73,-82.7,-53.36,35.66,0 days 00:00:16.354000000,1,0
92,-0.36,-4.13,0.44,-22.31,-30.55,-11.63,0 days 00:00:16.414000000,1,0
93,-0.22,-3.98,0.44,2.31,-5.24,-13.3,0 days 00:00:16.709000000,0,0
94,-0.29,-4.01,0.45,5.22,8.53,-5.71,0 days 00:00:16.997000000,0,0
95,-0.23,-3.95,0.41,0.15,-3.98,-7.54,0 days 00:00:17.060000000,0,0
96,-0.28,-4.0,0.47,7.53,-1.34,-3.88,0 days 00:00:17.119000000,0,0
97,-0.11,-3.96,0.47,2.23,-4.81,-3.04,0 days 00:00:17.435000000,0,0
98,-0.28,-4.04,0.44,5.54,1.74,-2.66,0 days 00:00:17.493000000,0,0
99,-0.19,-4.03,0.45,4.82,1.97,-0.53,0 days 00:00:17.808000000,0,0
100,-0.21,-4.01,0.51,4.12,0.44,-1.3,0 days 00:00:17.867000000,0,0
101,-0.24,-3.98,0.49,3.59,0.98,-4.2,0 days 00:00:18.192000000,0,0
102,-0.2,-3.97,0.5,2.03,2.63,-1.86,0 days 00:00:18.250000000,0,0
103,-0.27,-3.98,0.49,3.76,0.24,-3.31,0 days 00:00:18.577000000,0,0
104,-0.26,-4.01,0.43,0.64,3.88,-9.77,0 days 00:00:18.647000000,0,0
